id,state_alpha,statistic_description,production_practice_description,domain_category_description,naics_description,year,coefficient_of_variance,value
1321,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112112),Cattle Feedlots,2012,0.4,465000
1364,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,3.3,16592000
1403,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1122),,2012,23.8,116133000
1438,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1123),,2012,7.2,183438000
1476,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11231),,2012,28.2,16841000
1501,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11232),,2012,17.9,110357000
1518,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11233),,2012,7.4,53545000
1565,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1124),,2012,22.6,200000
1602,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,16.9,78000
1634,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11242),,2012,33.8,121000
1658,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1125),,2012,49.2,121000
1690,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1129),,2012,0.9,32244000
1747,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11292),,2012,37.1,555000
1792,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11299),,2012,1.1,31678000
1842,NC,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,2.9,4302877000
35,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,5.1,775568000
84,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,15,68649000
133,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,2.5,8888718000
183,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,2.2,9449902000
230,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,2.4,8795582000
265,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11111),,2012,3.6,837761000
279,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11112),,2012,10.5,262901000
287,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11113),,2012,10.3,90157000
306,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11114),,2012,2.2,1545888000
341,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,6.9,1938071000
387,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11119),,2012,1.4,4120804000
524,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1113),,2012,30.2,163000
568,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11133),,2012,30.2,163000
603,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111331),Apple Orchards,2012,71.8,20000
635,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111332),Grape Vineyards,2012,25.7,70000
1099,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,5.1,332557000
1149,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,13.8,214384000
1197,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,14.6,198173000
1244,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,14.6,188079000
1287,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,14.1,174252000
1322,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112112),Cattle Feedlots,2012,22,13827000
1365,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,14.7,10094000
1540,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11239),,2012,95.1,29000
1566,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1124),,2012,14.2,383000
1603,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,14.6,370000
1635,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11242),,2012,16.9,13000
1691,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1129),,2012,7.1,12259000
1718,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11291),,2012,34.9,107000
1748,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11292),,2012,48.3,403000
1793,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11299),,2012,7.3,11749000
1843,ND,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,2.4,9664285000
28,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,8.1,9651846000
77,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,9.7,1556572000
126,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,10.9,1726087000
176,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,5.8,10439275000
224,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,6.8,9900189000
262,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11111),,2012,4.4,413329000
278,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11112),,2012,17,595000
285,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11113),,2012,44.4,12393000
303,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11114),,2012,7.9,154785000
335,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,9,8052279000
382,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11119),,2012,5.1,1266808000
425,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1112),,2012,4.2,95334000
519,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1113),,2012,38.9,2323000
563,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11133),,2012,38.9,2323000
680,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111334),Berry (except Strawberry) Farming,2012,77,20000
714,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111335),Tree Nut Farming,2012,33.5,108000
801,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1114),,2012,12.3,44711000
839,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11141),,2012,10.9,6477000
876,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,13.9,38234000
988,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1119),,2012,33.8,396718000
1050,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11194),,2012,38.4,201766000
1092,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,31.1,194952000
1142,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,3.9,938658000
1190,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,3.5,816817000
1237,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,3.6,795047000
1281,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,4.4,414770000
1318,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112112),Cattle Feedlots,2012,4.6,380278000
1358,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,9.4,21770000
1401,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1122),,2012,10.3,79037000
1434,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1123),,2012,1,6590000
1472,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11231),,2012,0.8,4011000
1597,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,71.1,410000
1686,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1129),,2012,13.5,35663000
1717,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11291),,2012,77.8,227000
1743,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11292),,2012,76.7,269000
1789,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11299),,2012,13.4,35167000
1836,NE,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,5.4,11377933000
30,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,6.1,75235000
79,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,7.3,41219000
128,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,4.8,25479000
178,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,5.5,93962000
225,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,31.9,736000
336,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,31.9,736000
760,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111339),Other Noncitrus Fruit Farming,2012,23.1,2444000
802,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1114),,2012,8.4,51362000
841,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11141),,2012,21.7,1199000
877,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,8.1,50163000
912,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111421),Nursery and Tree Production,2012,5.4,29902000
949,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111422),Floriculture Production,2012,12,20261000
1094,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,10.6,6476000
1144,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,5.4,6752000
1192,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,4.5,6147000
1239,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,94.4,293000
1282,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,94.4,293000
1360,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,0.8,5854000
1435,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1123),,2012,22.3,118000
1562,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1124),,2012,53.7,67000
1598,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,43.6,56000
1745,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11292),,2012,51,3000
1838,NH,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,5.4,100714000
31,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,2.8,731652000
80,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,4.9,329934000
129,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,3.6,159115000
179,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,1.9,884229000
226,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,2.9,109818000
337,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,2.8,51528000
383,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11119),,2012,8.8,28405000
427,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1112),,2012,2.5,191888000
520,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1113),,2012,4.5,145672000
564,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11133),,2012,4.5,145672000
599,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111331),Apple Orchards,2012,8.2,4054000
631,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111332),Grape Vineyards,2012,17,3355000
681,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111334),Berry (except Strawberry) Farming,2012,1.5,107146000
761,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111339),Other Noncitrus Fruit Farming,2012,24.7,30139000
803,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1114),,2012,3.9,410794000
842,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11141),,2012,28.3,590000
878,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,3.8,410204000
913,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111421),Nursery and Tree Production,2012,4.4,206151000
950,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111422),Floriculture Production,2012,3.7,204053000
990,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1119),,2012,2.8,26057000
1052,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11194),,2012,4.7,12282000
1095,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,2.4,13774000
1145,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,8.6,6538000
1193,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,10.4,5497000
1240,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,31.9,833000
1283,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,31.9,833000
1361,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,10,4663000
1436,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1123),,2012,16.8,215000
1473,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11231),,2012,6,42000
1538,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11239),,2012,20.8,173000
1563,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1124),,2012,32.9,104000
1599,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,35.2,97000
1632,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11242),,2012,10.8,7000
1656,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1125),,2012,17.4,9000
1687,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1129),,2012,46.4,674000
1790,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11299),,2012,7.6,405000
1839,NJ,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,1.9,890767000
32,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,6.8,610832000
81,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,7.6,545737000
130,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,12,6106000
180,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,7.1,587230000
227,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,2.5,91157000
338,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,4.2,39838000
384,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11119),,2012,0.9,49144000
428,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1112),,2012,3.9,97383000
521,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1113),,2012,2.6,105878000
565,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11133),,2012,2.6,105878000
600,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111331),Apple Orchards,2012,25.9,3264000
632,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111332),Grape Vineyards,2012,7.7,3031000
682,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111334),Berry (except Strawberry) Farming,2012,8.9,292000
715,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111335),Tree Nut Farming,2012,2.2,97451000
734,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111336),Fruit and Tree Nut Combination Farming,2012,12.5,135000
762,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111339),Other Noncitrus Fruit Farming,2012,20.3,1706000
804,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1114),,2012,9.5,44712000
843,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11141),,2012,12.5,1561000
879,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,9.9,43151000
914,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111421),Nursery and Tree Production,2012,10.8,16921000
951,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111422),Floriculture Production,2012,9.7,26230000
991,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1119),,2012,15.8,248099000
1024,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11192),,2012,21.5,16982000
1053,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11194),,2012,17.9,168849000
1096,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,20.8,62268000
1146,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,2,29708000
1194,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,2,29197000
1241,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,2.7,21604000
1284,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,2.7,21052000
1319,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112112),Cattle Feedlots,2012,1.8,552000
1362,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,1.8,7592000
1474,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11231),,2012,45.9,11000
1600,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11241),,2012,27.8,79000
1688,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1129),,2012,21,416000
1840,NM,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,6.8,616938000
29,NV,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,42.9,362018000
